Red,Blue,Winner,Fight_URL,Event
Islam Makhachev,Jack Della Maddalena,,http://ufcstats.com/fight-details/856f6ee049373843,UFC 322: Della Maddalena vs. Makhachev
Valentina Shevchenko,Zhang Weili,,http://ufcstats.com/fight-details/7606f6b6c19f2d73,UFC 322: Della Maddalena vs. Makhachev
Michael Morales,Sean Brady,,http://ufcstats.com/fight-details/477af74ea3cbba8b,UFC 322: Della Maddalena vs. Makhachev
Carlos Prates,Leon Edwards,,http://ufcstats.com/fight-details/3c60884853766487,UFC 322: Della Maddalena vs. Makhachev
Benoit Saint Denis,Beneil Dariush,,http://ufcstats.com/fight-details/9b5f190cd3f5ce16,UFC 322: Della Maddalena vs. Makhachev
Bo Nickal,Rodolfo Vieira,,http://ufcstats.com/fight-details/292b83afa418635f,UFC 322: Della Maddalena vs. Makhachev
Gregory Rodrigues,Roman Kopylov,,http://ufcstats.com/fight-details/ebb012c5f3fd0cbb,UFC 322: Della Maddalena vs. Makhachev
Erin Blanchfield,Tracy Cortez,,http://ufcstats.com/fight-details/909cd8633507a0c8,UFC 322: Della Maddalena vs. Makhachev
Ethyn Ewing,Malcolm Wellmaker,,http://ufcstats.com/fight-details/e313286b307334a7,UFC 322: Della Maddalena vs. Makhachev
Kyle Daukaus,Gerald Meerschaert,,http://ufcstats.com/fight-details/9bbdc2a2ab334541,UFC 322: Della Maddalena vs. Makhachev
Pat Sabatini,Chepe Mariscal,,http://ufcstats.com/fight-details/e3cbd663732f4a98,UFC 322: Della Maddalena vs. Makhachev
Fatima Kline,Angela Hill,,http://ufcstats.com/fight-details/6c2c6a6e3f4d04db,UFC 322: Della Maddalena vs. Makhachev
Baisangur Susurkaev,Eric McConico,,http://ufcstats.com/fight-details/c037cf1f7b429d5e,UFC 322: Della Maddalena vs. Makhachev
Matheus Camilo,Viacheslav Borshchev,,http://ufcstats.com/fight-details/1a5378e32e8519ef,UFC 322: Della Maddalena vs. Makhachev
Gabriel Bonfim,Randy Brown,,http://ufcstats.com/fight-details/4e224ebb6394611d,UFC Fight Night: Bonfim vs. Brown
Joseph Morales,Matt Schnell,,http://ufcstats.com/fight-details/f7e9bd2d6f81aeae,UFC Fight Night: Bonfim vs. Brown
Uros Medic,Muslim Salikhov,,http://ufcstats.com/fight-details/b23fa678cc65cf5b,UFC Fight Night: Bonfim vs. Brown
Chris Padilla,Ismael Bonfim,,http://ufcstats.com/fight-details/20971ed9a842b0cb,UFC Fight Night: Bonfim vs. Brown
Christian Leroy Duncan,Marco Tulio,,http://ufcstats.com/fight-details/ac4343150638b635,UFC Fight Night: Bonfim vs. Brown
Jamall Emmers,Hyder Amil,,http://ufcstats.com/fight-details/e3d657dd88864ba7,UFC Fight Night: Bonfim vs. Brown
Raoni Barcelos,Ricky Simon,,http://ufcstats.com/fight-details/c6d56aad93f98249,UFC Fight Night: Bonfim vs. Brown
Jacqueline Cavalcanti,Mayra Bueno Silva,,http://ufcstats.com/fight-details/80eae31bc0a94a65,UFC Fight Night: Bonfim vs. Brown
Josh Hokit,Max Gimenis,,http://ufcstats.com/fight-details/87dcb3eab20f6ac1,UFC Fight Night: Bonfim vs. Brown
Denise Gomes,Tecia Pennington,,http://ufcstats.com/fight-details/9126633d921afb57,UFC Fight Night: Bonfim vs. Brown
Daniel Marcos,Miles Johns,,http://ufcstats.com/fight-details/238c274c90587e21,UFC Fight Night: Bonfim vs. Brown
Zach Reese,Jackson McVey,,http://ufcstats.com/fight-details/84b66bf7fba2d59d,UFC Fight Night: Bonfim vs. Brown
Steve Garcia,David Onama,,http://ufcstats.com/fight-details/747d922b329b7f30,UFC Fight Night: Garcia vs. Onama
Waldo Cortes Acosta,Ante Delija,,http://ufcstats.com/fight-details/9d9390b550d77e06,UFC Fight Night: Garcia vs. Onama
Jeremiah Wells,Themba Gorimbo,,http://ufcstats.com/fight-details/b0f68344e01884ff,UFC Fight Night: Garcia vs. Onama
Yadier del Valle,Isaac Dulgarian,,http://ufcstats.com/fight-details/767b78b67c7da17c,UFC Fight Night: Garcia vs. Onama
Charles Radtke,Daniel Frunza,,http://ufcstats.com/fight-details/71c8ca7442bcb757,UFC Fight Night: Garcia vs. Onama
Allan Nascimento,Cody Durden,,http://ufcstats.com/fight-details/f41c2c82d5117230,UFC Fight Night: Garcia vs. Onama
Billy Elekana,Kevin Christian,,http://ufcstats.com/fight-details/f063bcccbbb9edc5,UFC Fight Night: Garcia vs. Onama
Timmy Cuamba,ChangHo Lee,,http://ufcstats.com/fight-details/58f6248da3cdf3ce,UFC Fight Night: Garcia vs. Onama
Donte Johnson,Sedriques Dumas,,http://ufcstats.com/fight-details/c245be6698c1e378,UFC Fight Night: Garcia vs. Onama
Norma Dumont,Ketlen Vieira,,http://ufcstats.com/fight-details/760150e9951e65fa,UFC Fight Night: Garcia vs. Onama
Alice Ardelean,Montserrat Conejo Ruiz,,http://ufcstats.com/fight-details/32927d50acedb507,UFC Fight Night: Garcia vs. Onama
Seokhyeon Ko,Phil Rowe,,http://ufcstats.com/fight-details/e6031b5937294176,UFC Fight Night: Garcia vs. Onama
Talita Alencar,Ariane Carnelossi,,http://ufcstats.com/fight-details/7add5901fac6ab82,UFC Fight Night: Garcia vs. Onama
Tom Aspinall,Ciryl Gane,,http://ufcstats.com/fight-details/6390c8e74630473e,UFC 321: Aspinall vs. Gane
Mackenzie Dern,Virna Jandiroba,,http://ufcstats.com/fight-details/7d3da3c4153717de,UFC 321: Aspinall vs. Gane
Umar Nurmagomedov,Mario Bautista,,http://ufcstats.com/fight-details/e69f9b4b9cae12a4,UFC 321: Aspinall vs. Gane
Alexander Volkov,Jailton Almeida,,http://ufcstats.com/fight-details/b42a3386a7dccb3d,UFC 321: Aspinall vs. Gane
Azamat Murzakanov,Aleksandar Rakic,,http://ufcstats.com/fight-details/ef12d2aaaadaf6d0,UFC 321: Aspinall vs. Gane
Quillan Salkilld,Nasrat Haqparast,,http://ufcstats.com/fight-details/cb902d73389ed34b,UFC 321: Aspinall vs. Gane
Ikram Aliskerov,JunYong Park,,http://ufcstats.com/fight-details/0230a9dd2739add4,UFC 321: Aspinall vs. Gane
Ludovit Klein,Mateusz Rebecki,,http://ufcstats.com/fight-details/e9c034cec33b3479,UFC 321: Aspinall vs. Gane
Valter Walker,Louie Sutherland,,http://ufcstats.com/fight-details/f2c2a49fed32bd75,UFC 321: Aspinall vs. Gane
Nathaniel Wood,Jose Delgado,,http://ufcstats.com/fight-details/bd7394f07247d9ca,UFC 321: Aspinall vs. Gane
Hamdy Abdelwahab,Chris Barnett,,http://ufcstats.com/fight-details/3fdb4c4b39218cf4,UFC 321: Aspinall vs. Gane
Mitch Raposo,Azat Maksum,,http://ufcstats.com/fight-details/22dd728012944f0a,UFC 321: Aspinall vs. Gane
Mizuki,Jaqueline Amorim,,http://ufcstats.com/fight-details/ef1519c8c1d20977,UFC 321: Aspinall vs. Gane
Brendan Allen,Reinier de Ridder,,http://ufcstats.com/fight-details/d61373d9fdf01a12,UFC Fight Night: De Ridder vs. Allen
Mike Malott,Kevin Holland,,http://ufcstats.com/fight-details/cdd565a16975c711,UFC Fight Night: De Ridder vs. Allen
Aiemann Zahabi,Marlon Vera,,http://ufcstats.com/fight-details/857d274e47aa8c4e,UFC Fight Night: De Ridder vs. Allen
Manon Fiorot,Jasmine Jasudavicius,,http://ufcstats.com/fight-details/c82acd7b17915591,UFC Fight Night: De Ridder vs. Allen
Charles Jourdain,Davey Grant,,http://ufcstats.com/fight-details/a18edcb638ba7e39,UFC Fight Night: De Ridder vs. Allen
Kyle Nelson,Matt Frevola,,http://ufcstats.com/fight-details/3af1bdc5a510bba9,UFC Fight Night: De Ridder vs. Allen
Drew Dober,Kyle Prepolec,,http://ufcstats.com/fight-details/ecdbb3a5216b815e,UFC Fight Night: De Ridder vs. Allen
Aoriqileng,Cody Gibson,,http://ufcstats.com/fight-details/970f083af8368f57,UFC Fight Night: De Ridder vs. Allen
Bruno Silva,HyunSung Park,,http://ufcstats.com/fight-details/668a44403a130043,UFC Fight Night: De Ridder vs. Allen
Djorden Santos,Danny Barlow,,http://ufcstats.com/fight-details/096e00355c8c84ac,UFC Fight Night: De Ridder vs. Allen
Stephanie Luciano,Ravena Oliveira,,http://ufcstats.com/fight-details/8d9458121f0c4b95,UFC Fight Night: De Ridder vs. Allen
Yousri Belgaroui,Azamat Bekoev,,http://ufcstats.com/fight-details/87ac0e5face106b4,UFC Fight Night: De Ridder vs. Allen
Melissa Croden,Tainara Lisboa,,http://ufcstats.com/fight-details/dec301fd5e99ca46,UFC Fight Night: De Ridder vs. Allen
Charles Oliveira,Mateusz Gamrot,,http://ufcstats.com/fight-details/79865287be90e4be,UFC Fight Night: Oliveira vs. Gamrot
Deiveson Figueiredo,Montel Jackson,,http://ufcstats.com/fight-details/f295eb2a7b0ba4b7,UFC Fight Night: Oliveira vs. Gamrot
Joel Alvarez,Vicente Luque,,http://ufcstats.com/fight-details/6188b7fb3f8daacc,UFC Fight Night: Oliveira vs. Gamrot
Mario Pinto,Jhonata Diniz,,http://ufcstats.com/fight-details/03377f7bf8a2d5ff,UFC Fight Night: Oliveira vs. Gamrot
Kaan Ofli,Ricardo Ramos,,http://ufcstats.com/fight-details/2aef1a91d26dde42,UFC Fight Night: Oliveira vs. Gamrot
Michael Aswell Jr.,Lucas Almeida,,http://ufcstats.com/fight-details/cff0abc02974fb4a,UFC Fight Night: Oliveira vs. Gamrot
Jafel Filho,Clayton Carpenter,,http://ufcstats.com/fight-details/766b0b26c40525de,UFC Fight Night: Oliveira vs. Gamrot
Vitor Petrino,Thomas Petersen,,http://ufcstats.com/fight-details/a815dafc89adf33b,UFC Fight Night: Oliveira vs. Gamrot
Bia Mesquita,Irina Alekseeva,,http://ufcstats.com/fight-details/546f971f9d8e0a33,UFC Fight Night: Oliveira vs. Gamrot
Lucas Rocha,Stewart Nicoll,,http://ufcstats.com/fight-details/434abaea90ccd299,UFC Fight Night: Oliveira vs. Gamrot
